2024-01-17 18:20:27.061 - DEBUG    - Loading "StateMachine"... - startup.vi - 0 - 
2024-01-17 18:20:27.321 - INFO     - Module DBModule started. - DBModule.lvlib:Main.vi.ACBRProxyCaller.AA00008E->DBModule.lvlib:Main.vi - 0 - 
2024-01-17 18:20:27.342 - DEBUG    - Loading "DBModule"... - startup.vi - 0 - 
2024-01-17 18:20:27.493 - DEBUG    - Setting Modules in UI Manager... - startup.vi - 0 - 
2024-01-17 18:20:27.642 - DEBUG    - Setting Modules in Event Manager... - startup.vi - 0 - 
2024-01-17 18:20:27.662 - DEBUG    - Loading Menu... - startup.vi - 0 - 
2024-01-17 18:20:27.693 - INFO     - Module Event Manager configured. - Event Manager.lvlib:Main.vi.ACBRProxyCaller.A7E0008D->Event Manager.lvlib:Main.vi:4140001 - 0 - 
2024-01-17 18:20:27.700 - DEBUG    - Configure statically loaded modules... - startup.vi - 0 - 
2024-01-17 18:20:27.758 - INFO     - Module UI Manager configured. - UI Manager.lvlib:Main.vi.ACBRProxyCaller.A8600079->UI Manager.lvlib:Main.vi - 0 - 
2024-01-17 18:20:27.794 - DEBUG    - Configure module Framework\Navigation ... - startup.vi - 0 - 
2024-01-17 18:20:27.802 - DEBUG    - Module Navigation configured - Navigation.lvlib:Main.vi.ACBRProxyCaller.A8D00089->Navigation.lvlib:Main.vi - 0 - 
2024-01-17 18:20:27.860 - DEBUG    - Configure module Modules\Dummy ... - startup.vi - 0 - 
2024-01-17 18:20:27.871 - INFO     - Module User Interface configured. - ActorModule.lvlib:Main.vi.ACBRProxyCaller.A9800098->ActorModule.lvlib:Main.vi - 0 - 
2024-01-17 18:20:27.879 - DEBUG    - Configure module Modules\ActorModule ... - startup.vi - 0 - 
2024-01-17 18:20:27.889 - INFO     - Module StateMachine started. - StateMachine.lvlib:Main.vi.ACBRProxyCaller.A9C00084->StateMachine.lvlib:Main.vi - 0 - 
2024-01-17 18:20:27.890 - DEBUG    - Initialization finished - StateMachine.lvlib:Main.vi.ACBRProxyCaller.A9C00084->StateMachine.lvlib:Main.vi->StateMachine.lvlib:HSE-State-Machine.lvlib:SM Wait for Transition.vi:2550001 - 0 - 
2024-01-17 18:20:27.902 - DEBUG    - Configure module Modules\StateMachine ... - startup.vi - 0 - 
2024-01-17 18:20:27.929 - DEBUG    - Configure module Modules\DBModule ... - startup.vi - 0 - 
2024-01-17 18:20:27.930 - INFO     - Module DBModule configured. - DBModule.lvlib:Main.vi.ACBRProxyCaller.AA00008E->DBModule.lvlib:Main.vi - 0 - 
2024-01-17 18:20:27.947 - ERROR    - DQMH Error Case - DBModule.lvlib:Main.vi.ACBRProxyCaller.AA00008E->DBModule.lvlib:Main.vi - 1003 - Open VI Reference in hse-db.lvlib:DB_CONNECTOR.lvlib:VI Reference Management.lvlib:VI Reference AE.vi->hse-db.lvlib:DB_CONNECTOR.lvlib:VI Reference Management.lvlib:Create.vi:6800001->hse-db.lvlib:DB_CONNECTOR.lvlib:VI Reference Management.lvlib:Get or Create Master Reference.vi:4070001->hse-db.lvlib:DB_CONNECTOR.lvlib:Start Module.vi->DBModule.lvlib:Main.vi->DBModule.lvlib:Main.vi.ACBRProxyCaller.AA00008E<APPEND>VI Path: <b>C:\Users\luisc\OneDrive\Desktop\579-Intelligent-Systems-Term-Project\06_Source\UI\FReVSys_Source\Libraries\hse-db\Source\DB_CONNECTOR\Main.vi</b><DQMH>Event Handling Loop</DQMH>
